affiliation_key,affiliation_variant,group_key,source
icrs-a-00116,"Coral Restoration Consortium, Sint Maarten",coral restoration consortium|sint maarten,delegate_list|geocode_csv|programme
icrs-a-00117,"Coral Restoration Consortium, United States",coral restoration consortium|united states,delegate_list|geocode_csv
icrs-a-00118,"Coral Restoration Foundation / Coral Restoration, United States",coral restoration foundation|united states,delegate_list|geocode_csv
icrs-a-00118,"Coral Restoration Foundation, United States",coral restoration foundation|united states,delegate_list|geocode_csv|programme
icrs-a-00119,"Coral Restoration Foundation, United States Virgin Islands",coral restoration foundation|united states virgin islands,delegate_list|geocode_csv|programme
icrs-a-00120,Coral soul,coral soul|,programme
icrs-a-00121,"Coral Triangle Center, Indonesia",coral triangle center|indonesia,delegate_list|geocode_csv|programme
icrs-a-00122,"Coral Vivo Institute, Brazil",coral vivo institute|brazil,delegate_list|geocode_csv|programme
icrs-a-00123,"Corales De Paz, Colombia",corales de paz|colombia,delegate_list|geocode_csv|programme
icrs-a-00124,"Coralition for Concerned Polyps, United States",coralition for concerned polyps|united states,delegate_list|geocode_csv
icrs-a-00125,"Coralku Solutions, Malaysia",coralku solutions|malaysia,delegate_list|geocode_csv|programme
icrs-a-00126,Corals For Conservation,corals for conservation|fiji,display_alias
icrs-a-00126,"Corals For Conservation, Fiji",corals for conservation|fiji,delegate_list|display_alias
icrs-a-00126,Corals for Conservation,corals for conservation|fiji,display_alias
icrs-a-00126,"Corals for Conservation, Fiji",corals for conservation|fiji,delegate_list|display_alias|geocode_csv|programme
icrs-a-00127,"Coralwatch, Australia",coralwatch|australia,delegate_list|geocode_csv|programme
icrs-a-00128,"CORDIO East Africa, Kenya",cordio east africa|kenya,delegate_list|geocode_csv|programme
icrs-a-00129,"Criobe Moorea, United States",criobe moorea|united states,programme
icrs-a-00129,"Resource and Ecosystem Management, United States",criobe moorea|united states,delegate_list|geocode_csv
icrs-a-00130,"CRIOBE, France",criobe|france,delegate_list|geocode_csv|programme
icrs-a-00131,"CRIOBE, French Polynesia",criobe|french polynesia,delegate_list|geocode_csv|programme
icrs-a-00132,"CRIOBE, Reunion",criobe|réunion,display_alias
icrs-a-00132,"CRIOBE, Réunion",criobe|réunion,delegate_list|display_alias|geocode_csv|programme
icrs-a-00133,"CSIR National Institute of India, India",csir national institute of india|india,delegate_list|geocode_csv|programme
icrs-a-00134,"CSIR National Institute of Oceanography, India",csir national institute of oceanography|india,delegate_list|geocode_csv|programme
icrs-a-00135,"CSS-INC., Under Contract to NOAA-NCCOS","css-inc., under contract to noaa-nccos|united states",geocode_csv
icrs-a-00135,"CSS-INC., Under Contract to NOAA-NCCOS, United States","css-inc., under contract to noaa-nccos|united states",delegate_list|geocode_csv|programme
icrs-a-00136,"Curtin University, Australia",curtin university|australia,delegate_list|geocode_csv|programme
icrs-a-00137,"Cut the Mustard Ltd., New Zealand",cut the mustard ltd.|new zealand,delegate_list|geocode_csv
icrs-a-00138,"Darla White - Marine Ecological Consulting, LLC","darla white - marine ecological consulting, llc|united states",geocode_csv
icrs-a-00138,"Darla White - Marine Ecological Consulting, LLC, United States","darla white - marine ecological consulting, llc|united states",delegate_list|geocode_csv|programme
icrs-a-00139,"De La Salle University, Philippines",de la salle university|philippines,delegate_list|geocode_csv|programme
icrs-a-00140,"Delta Environmental and Educational Foundation, Taiwan",delta environmental and educational foundation|taiwan,delegate_list|geocode_csv
icrs-a-00141,"Department of Biodiversity, Conservation and Attractions, Australia","department of biodiversity, conservation and attractions - western australia|australia",delegate_list|geocode_csv|programme
icrs-a-00142,"Department of Conservation - New Zealand, New Zealand",department of conservation - new zealand|new zealand,delegate_list|geocode_csv|programme
icrs-a-00143,Department of Environment and Natural Resources - Philippines,department of environment and natural resources - philippines|philippines,display_alias
icrs-a-00143,Department of Environment and Natural Resources - Philippines Philippines,department of environment and natural resources - philippines|philippines,display_alias
icrs-a-00143,"Department of Environment and Natural Resources - Philippines Philippines, Philippines",department of environment and natural resources - philippines|philippines,display_alias
icrs-a-00143,"Department of Environment and Natural Resources - Philippines, Philippines",department of environment and natural resources - philippines|philippines,delegate_list|display_alias|geocode_csv
icrs-a-00144,"Department of Fisheries - Malaysia, Malaysia",department of fisheries - malaysia|malaysia,delegate_list|geocode_csv
icrs-a-00145,"Department of Natural and Environmental Resources of Puerto Rico (DNER), Puerto Rico",department of natural and environmental resources of puerto rico (dner)|puerto rico,delegate_list|geocode_csv
icrs-a-00146,Department of Planning and Natural Resources - Virgin Islands,department of planning and natural resources - virgin islands|,programme
icrs-a-00147,"DHI Water and Environment, Singapore",dhi water and environment|singapore,delegate_list|geocode_csv|programme
icrs-a-00148,"Disaster Risk Reduction Center Universitas Indonesia, Indonesia",disaster risk reduction center universitas indonesia|indonesia,delegate_list|geocode_csv
icrs-a-00149,"Division of Aquatic and Wildlife Resources - Guam, Guam",division of aquatic and wildlife resources - guam|guam,delegate_list|geocode_csv|programme
icrs-a-00150,"Drawaqa Marine Conservation Trust, Fiji",drawaqa marine conservation trust|fiji,delegate_list|geocode_csv
icrs-a-00151,"Duke University, United States",duke university|united states,delegate_list|geocode_csv|programme
icrs-a-00152,"Durrell Institute of Conservation and Ecology, United Kingdom",durrell institute of conservation and ecology|united kingdom,delegate_list|geocode_csv|programme
icrs-a-00153,"Early Careers, United Kingdom",early careers|united kingdom,delegate_list|geocode_csv
icrs-a-00154,Earth and Life Institute,earth and life institute|,programme
icrs-a-00155,"Earth Observatory of Singapore, Singapore",earth observatory of singapore|singapore,delegate_list|geocode_csv|programme
icrs-a-00156,"Earth Sciences New Zealand, New Zealand",earth sciences new zealand|new zealand,delegate_list|geocode_csv|programme
icrs-a-00157,"East Carolina University, United States",east carolina university|united states,delegate_list|geocode_csv|programme
icrs-a-00158,"Eco Marine Consultants Ltd, Mauritius",eco marine consultants ltd|mauritius,delegate_list|geocode_csv|programme
icrs-a-00159,"Eco-Sud, Mauritius",eco-sud|mauritius,delegate_list|geocode_csv|programme
icrs-a-00160,"ECOH Corporation, Japan",ecoh corporation|japan,delegate_list|geocode_csv|programme
icrs-a-00161,"Edith Cowan University, Australia",edith cowan university|australia,delegate_list|geocode_csv|programme
icrs-a-00162,"Ehime University, Japan",ehime university|japan,delegate_list|geocode_csv|programme
icrs-a-00163,"ENTROPIE, Reunion",entropie|réunion,display_alias
icrs-a-00163,"ENTROPIE, Réunion",entropie|réunion,delegate_list|display_alias|geocode_csv|programme
icrs-a-00164,"Envirotech-Coralz Group, Fiji",envirotech-coralz group|fiji,delegate_list|geocode_csv|programme
icrs-a-00165,"EPHE-Paris PSL-CRIOBE, French Polynesia",ephe-paris psl-criobe|french polynesia,delegate_list|geocode_csv|programme
icrs-a-00166,"Eveline Kolijn Studio, Canada",eveline kolijn studio|canada,delegate_list|geocode_csv|programme
icrs-a-00167,"Experience Co, Australia",experience co|australia,delegate_list|geocode_csv|programme
icrs-a-00168,"Experimental Marine Ecology Lab, Singapore",experimental marine ecology lab|singapore,delegate_list|geocode_csv|programme
icrs-a-00169,Federal University of Parana,federal university of paraná|brazil,display_alias
icrs-a-00169,Federal University of Paraná,federal university of paraná|brazil,display_alias
icrs-a-00169,"Federal University of Paraná, Brazil",federal university of paraná|brazil,delegate_list|display_alias|geocode_csv|programme
icrs-a-00170,"Federal University of Pernambuco, Brazil",federal university of pernambuco|brazil,delegate_list|geocode_csv|programme
icrs-a-00171,"Federal University of Santa Maria, Brazil",federal university of santa maria|brazil,delegate_list|geocode_csv|programme
icrs-a-00172,"Federal University of Technology - Akure, Nigeria",federal university of technology - akure|nigeria,delegate_list|geocode_csv|programme
icrs-a-00173,"Fish-i Inc, Philippines",fish-i inc|philippines,delegate_list|geocode_csv|programme
icrs-a-00174,"Fisheries Infrastructure Development Center, Japan",fisheries infrastructure development center|japan,delegate_list|geocode_csv|programme
icrs-a-00175,Fisheries Research Institute,fisheries research institute|,programme
icrs-a-00176,"Fisheries Technology Institute, Japan",fisheries technology institute|japan,delegate_list|geocode_csv|programme
icrs-a-00177,"Florida Atlantic University - Harbor Branch, United States",florida atlantic university - harbor branch|united states,delegate_list|geocode_csv|programme
icrs-a-00178,Florida Atlantic University,florida atlantic university|united states,display_alias
icrs-a-00178,"Florida Atlantic University, United States",florida atlantic university|united states,delegate_list|display_alias|geocode_csv|programme
icrs-a-00179,"Florida Fish and Wildlife Conservation Commission, United States",florida fish and wildlife conservation commission|united states,delegate_list|geocode_csv|programme
icrs-a-00180,"Florida Fish and Wildlife Research Institute, United States",florida fish and wildlife research institute|united states,delegate_list|geocode_csv|programme
icrs-a-00181,Florida International Univeristy,florida international university|united states,display_alias
icrs-a-00181,"Florida International Univeristy, United States",florida international university|united states,delegate_list|display_alias|geocode_csv|programme
icrs-a-00181,Florida International University,florida international university|united states,display_alias
icrs-a-00181,"Florida International University, United States",florida international university|united states,delegate_list|display_alias|geocode_csv|programme
icrs-a-00182,"Florida Keys National Marine Sanctuary, United States",florida keys national marine sanctuary|united states,delegate_list|geocode_csv|programme
icrs-a-00183,"Florida Sea Grant, United States",florida sea grant|united states,delegate_list|geocode_csv
icrs-a-00184,"Florida State University, United States",florida state university|united states,delegate_list|geocode_csv|programme
icrs-a-00185,"Fluoresci Research, Australia",fluoresci research|australia,delegate_list|geocode_csv|programme
icrs-a-00186,"Fluvio, Australia",fluvio|australia,delegate_list|geocode_csv|programme
icrs-a-00187,"Fondo Acción, Colombia",fondo acción|colombia,delegate_list|geocode_csv
icrs-a-00188,"Foreign Commonwealth Development Office, Fiji",foreign commonwealth development office|fiji,delegate_list|geocode_csv
icrs-a-00189,"Fundacion Puntacana, Dominican Republic",fundacion puntacana|dominican republic,delegate_list|geocode_csv|programme
icrs-a-00190,Fundacion Dominicana de Estudios Marinos,fundación dominicana de estudios marinos|dominican republic,display_alias
icrs-a-00190,"Fundacion Dominicana de Estudios Marinos, Dominican Republic",fundación dominicana de estudios marinos|dominican republic,display_alias|programme
icrs-a-00190,Fundación Dominicana de Estudios Marinos,fundación dominicana de estudios marinos|dominican republic,display_alias
icrs-a-00190,"Fundación Dominicana de Estudios Marinos, Dominican Republic",fundación dominicana de estudios marinos|dominican republic,delegate_list|display_alias|geocode_csv
icrs-a-00191,"G20 Coral Research and Development Accelerator, Saudi Arabia",g20 coral research and development accelerator|saudi arabia,delegate_list|geocode_csv|programme
icrs-a-00192,General Organization for Conservation of Coral Reef in the Red Sea,general organization for conservation of coral reef in the red sea|saudi arabia,display_alias
icrs-a-00192,"General Organization for Conservation of Coral Reef in the Red Sea, Saudi Arabia",general organization for conservation of coral reef in the red sea|saudi arabia,delegate_list|display_alias|geocode_csv|programme
icrs-a-00192,General Organization for Conservation of Coral Reefs in the Red Sea,general organization for conservation of coral reef in the red sea|saudi arabia,display_alias
icrs-a-00192,"General Organization for Conservation of Coral Reefs in the Red Sea, Saudi Arabia",general organization for conservation of coral reef in the red sea|saudi arabia,delegate_list|display_alias|geocode_csv|programme
icrs-a-00193,"Geomar Helmholtz Centre for Ocean Research, Germany",geomar helmholtz centre for ocean research|germany,delegate_list|geocode_csv|programme
icrs-a-00194,Georgia Institute of Technology,georgia institute of technology|united states,display_alias
icrs-a-00194,"Georgia Institute of Technology, United States",georgia institute of technology|united states,delegate_list|display_alias|geocode_csv|programme
icrs-a-00194,United States,georgia institute of technology|united states,delegate_list
icrs-a-00195,"Georgia Southern University, United States",georgia southern university|united states,delegate_list|geocode_csv|programme
icrs-a-00196,"GG Biotech Design, Germany",gg biotech design|germany,delegate_list|geocode_csv|programme
icrs-a-00197,"GIS and Spatial Ecology Lab, United States",gis and spatial ecology lab|united states,delegate_list|geocode_csv
icrs-a-00198,"Global Discovery and Conservation Science, United States",global discovery and conservation science|united states,delegate_list|geocode_csv|programme
icrs-a-00199,"Global Island Partnership, New Zealand",global island partnership|new zealand,delegate_list|geocode_csv|programme
icrs-a-00200,"Global Reef, Thailand",global reef|thailand,delegate_list|geocode_csv|programme
